Domian;Phylum;Class;Order;Family;Genus;Species;MP288;MP289;MP290;MP291;MP292;MP293;MP294;MP295;MP296;MP297;MP298;MP299;MP300;MP301;MP302;MP303;MP304;MP305;MP306;MP307;total
Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halalkalicoccus;uncultured_archaeon;383;0;0;80;45;0;1521;329;0;181;0;63;0;27;0;0;0;36;0;0;2665
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;;;0;0;0;0;0;0;45;54;0;0;0;0;0;0;0;0;0;0;0;0;99
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;uncultured_Methanosphaerula;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;bacterium_LY17;90;33;61;0;137;0;0;96;200;65;47;0;20;64;95;85;0;0;82;0;1075
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;uncultured_bacterium;17;22;23;22;0;0;37;114;64;51;32;0;0;0;0;0;0;162;0;11;555
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;Abditibacterium_utsteinense;0;0;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;78
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;uncultured_endolithic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;76
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;uncultured_soil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;53
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;uncultured_Carnobacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;;0;0;104;76;89;0;0;0;0;0;172;0;0;0;0;23;0;0;113;5489;6066
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);uncultured;;289;122;0;225;252;620;167;182;806;268;211;168;273;153;151;0;0;0;420;0;4307
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;uncultured;;0;0;0;0;0;0;0;0;0;0;0;102;0;0;342;18;0;0;177;2553;3192
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacteraceae;;0;0;0;0;0;0;25;0;0;0;94;0;0;0;0;160;0;0;0;941;1220
Bacteria;Acidobacteriota;Holophagae;Subgroup_7;Subgroup_7;Subgroup_7;uncultured_Desulfovirga;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;232;0;907;1163
Bacteria;Acidobacteriota;Holophagae;Subgroup_7;Subgroup_7;Subgroup_7;Acidobacteria_bacterium;43;70;99;51;86;246;0;0;0;0;95;0;0;0;0;0;390;35;0;0;1115
Bacteria;Acidobacteriota;Holophagae;Subgroup_7;Subgroup_7;Subgroup_7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;128;0;74;723;1011
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;;6;0;0;128;0;0;31;0;44;141;0;0;0;0;0;153;0;0;85;402;990
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus_Solibacter;;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;194;0;595;876
Bacteria;Acidobacteriota;Blastocatellia;nov/24;nov/24;nov/24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370;0;0;432;802
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;332;0;0;147;108;769
Bacteria;Acidobacteriota;Holophagae;Subgroup_7;Subgroup_7;Subgroup_7;uncultured_bacterium;0;0;0;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;556;754
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;uncultured_bacterium;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;681;718
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;uncultured;uncultured_bacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;693;693
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;;;0;0;0;0;0;0;0;0;0;206;0;0;19;0;0;0;0;0;0;387;612
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;uncultured;;0;0;0;0;0;0;0;0;0;129;110;0;0;0;0;0;0;0;0;349;588
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;uncultured;uncultured;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;390;0;0;21;531
Bacteria;Acidobacteriota;Acidobacteriae;;;;;10;0;0;98;0;0;0;66;0;0;0;0;65;0;0;0;0;0;83;70;392
